AJ Schnack
Aaron Blaise
Aaron Harvey
Aaron Norris
Aaron Seltzer
Aaron Speiser
Aaron Woodley
Abbas Kiarostami
Abbe Wool
Abby Epstein
Abdellatif Kechiche
Abe Levitow
Abel Ferrara
Abel Gance
Abhishek Varman
Abraham Polonsky
Adam Alleca
Adam Bernstein
Adam Brooks
Adam Del Deo
Adam Elliot
Adam MacDonald
Adam Marcus
Adam Mason
Adam McKay
Adam Resnick
Adam Rifkin
Adam Rodgers
Adam Shankman
Adam Simon
Adam Thomas Anderegg
Adam Wingard
Aditya Kolli
Adrian Hoven
Adrian Lyne
Adrian Shergold
Adrienne Shelly
Afonso Poyart
Agnieszka Holland
Agnès Jaoui
Agnès Merlet
Agnès Varda
Agustín Díaz Yanes
Aimee Lagos
Aiyana Elliott
Aki Kaurismäki
Akira Kurosawa
Akiva Goldsman
Akiva Schaffer
Al Pacino
Al Reinert
Alaa Sheikh Hassan
Alain Berliner
Alain Resnais
Alan Alda
Alan Barillaro
Alan Clarke
Alan Cohn
Alan Cumming
Alan J. Pakula
Alan Jacobs
Alan Mak
Alan Mehrez
Alan Metter
Alan Myerson
Alan Parker
Alan Poul
Alan Rafkin
Alan Rickman
Alan Rudolph
Alan Shapiro
Alan Taylor
Alan Zaslove
Alastair Fothergill
Albert Band
Albert Brooks
Albert Hughes
Albert Lamorisse
Albert Lewin
Albert Magnoli
Albert Maysles
Albert Parker
Alberto De Martino
Alec Berg
Alejandro Agresti
Alejandro Amenábar
Alejandro G. Iñárritu
Alejandro Jodorowsky
Alejandro Romeo
Alejo Crisóstomo
Alek Keshishian
Aleksander Bach
Aleksandr Seryj
Aleksandr Sokurov
Aleksey Balabanov
Aleksey Fedorchenko
Aleksi Mäkelä
Alessandro Carloni
Alex Cox
Alex Garland
Alex Gibney
Alex Kendrick
Alex Kurtzman
Alex Proyas
Alex Rivera
Alex Smith
Alex Stapleton
Alex van Warmerdam
Alexander Korda
Alexander Mackendrick
Alexander Payne
Alexander Witt
Alexandre Aja
Alexandre Bustillo
Alexandre Rockwell
Alexandros Avranas
Alfonso Arau
Alfonso Cuarón
Alfonso Gomez-Rejon
Alfred Hitchcock
Alfred L. Werker
Alfred Sole
Ali Taner Baltaci
Alik Sakharov
Alison Ellwood
Alison Klayman
Alison Maclean
Allan A. Goldstein
Allan Arkush
Allan Dwan
Allan Moyle
Allen Coulter
Allen Hughes
Allison Anders
Allison Berg
Amir Bar-Lev
Amma Asante
Amos Gitai
Amos Poe
Amy Berg
Amy Heckerling
Amy Holden Jones
Amy S. Weber
Ana Kokkinos
Ana Lily Amirpour
Anand Tucker
Anatole Litvak
Anders Thomas Jensen
Anders Østergaard
Andrea Arnold
Andrea Bianchi
Andrea Dalla Costa
Andreas Dalsgaard
Andreas Dresen
Andrei Tarkovsky
Andrew Adamson
Andrew Bergman
Andrew Birkin
Andrew Currie
Andrew Davis
Andrew Dominik
Andrew Douglas
Andrew Erwin
Andrew Fleming
Andrew Gallerani
Andrew Haigh
Andrew Horn
Andrew J. Kuehn
Andrew J. Smith
Andrew Jarecki
Andrew Jimenez
Andrew L. Stone
Andrew Leman
Andrew Loo
Andrew Marton
Andrew Mogel
Andrew Morahan
Andrew Niccol
Andrew O'Connor
Andrew R. Jones
Andrew Rossi
Andrew Scheinman
Andrew Sipes
Andrew Solt
Andrew Stanton
Andrew Theopolis
Andrew V. McLaglen
Andrew Waller
Andrey Konchalovskiy
Andrey Zvyagintsev
Andrzej Bartkowiak
Andrzej Sekula
Andrzej Wajda
Andrzej Zulawski
André Bonzel
André De Toth
André Heller
André Téchiné
André Øvredal
Andrés Muschietti
Andrés Wood
Andy Bichlbaum
Andy Cadiff
Andy Fickman
Andy Tennant
Andy Wilson
Ang Lee
Angela Christlieb
Angela Pope
Angela Robinson
Angelina Jolie
Angus MacLane
Anjelica Huston
Anna Boden
Anna Campion
Anna Maria Tatò
Annabel Jankel
Anne Fletcher
Anne Fontaine
Anne Goursaud
Anne Sundberg
Anne Wheeler
Annette Haywood-Carter
Anonymous
Anthony Asquith
Anthony C. Ferrante
Anthony Drazan
Anthony Harvey
Anthony Hemingway
Anthony Hickox
Anthony Leondis
Anthony Mann
Anthony Minghella
Anthony Page
Anthony Perkins
Anthony Potenza
Anthony Russo
Anthony Stacchi
Anthony Waller
Antoine Fuqua
Anton Corbijn
Anton Leader
Antonia Bird
Antonio Banderas
Antonio Margheriti
Antony Hoffman
Aram Rappaport
Archie Mayo
Ari Folman
Ari Sandel
Arie Posin
Ariel Kleiman
Ariel Schulman
Aristomenis Tsirbas
Arlene Sanford
Armand Schaefer
Armando Iannucci
Arna Selznick
Arne Glimcher
Arnold Glassman
Arnold Laven
Art Clokey
Art Linson
Art Stevens
Art Vitello
Arthur Allan Seidelman
Arthur Borman
Arthur H. Nadel
Arthur Hiller
Arthur Lubin
Arthur Penn
Arthur Qwak
Arthur Rankin Jr.
Arthur Rosson
Asger Leth
Asghar Farhadi
Ash Brannon
Ashley Sabin
Ashley York
Ashutosh Gowariker
Asif Kapadia
Ate de Jong
Atiq Rahimi
Atom Egoyan
Audrey Wells
Augusto Caminito
Austin Stark
Autumn de Wilde
Ava DuVernay
Aviva Kempner
Ayan Mukerji
Ayman El Gazwy
B.Z. Goldberg
Babak Najafi
Baillie Walsh
Baltasar Kormákur
Banksy
Barbara Brancaccio
Barbara Kopple
Barbara Sonneborn
Barbet Schroeder
Barbra Streisand
Barnet Kellman
Barry Alexander Brown
Barry Cook
Barry Levinson
